"ID_REPORT";"TIPO_MATCH";"COD_LOCALE_PROGETTO";"CUP";"OC_LINK";"OC_FLAG_VISUALIZZAZIONE";"NOTE"
1271;"url_clp";"1PUFE4.200024";"B87E08000020002";"www.opencoesione.gov.it/progetti/1pufe4200024";0;
1272;"url_clp";"2MINT2.5/PUG/10";"H25D10000060001";"www.opencoesione.gov.it/progetti/2mint25pug10";0;
1275;"url_clp";"1SI109";"J46C07000060001";"www.opencoesione.gov.it/progetti/1si109";0;
1277;"url_clp";"1CA355C92007IT161PO009";"I72D14000010002";"www.opencoesione.gov.it/progetti/1ca355c92007it161po009";0;
1280;"url_clp";"1SI16079";"J73D13000540006";"www.opencoesione.gov.it/progetti/1si16079";0;
1281;"url_clp";"1MISEMO3D-028A";"G34H13000620002";"www.opencoesione.gov.it/progetti/1misemo3d-028a";0;
1282;"url_clp";"1MISEMN-01";"B41E04000210001";"www.opencoesione.gov.it/progetti/1misemn-01";0;
1283;"url_clp";"1MISERT01";"B87E12000250002";"www.opencoesione.gov.it/progetti/1misert01";0;
1284;"url_clp";"1PUFC5.100002";"J81G11000040002";"www.opencoesione.gov.it/progetti/1pufc5100002";0;
1285;"url_clp";"1PUFE3.200252";"H53B10000320002";"www.opencoesione.gov.it/progetti/1pufe3200252";0;
1288;"url_clp";"1MISEMO3C.010";"F29D14000160002";"www.opencoesione.gov.it/progetti/1misemo3c010";0;
1289;"url_clp";"1MISECBMT10";"G42D12000800001";"www.opencoesione.gov.it/progetti/1misecbmt10";0;
1290;"url_clp";"1MA8349";"G26D10000020006";"www.opencoesione.gov.it/progetti/1ma8349";0;
1291;"url_clp";"1MISECIPEPUG01";"F53J12000080001";"www.opencoesione.gov.it/progetti/1misecipepug01";0;
1292;"url_clp";"1MISE2R-C365-I-3-01";"D71B15000330008";"www.opencoesione.gov.it/progetti/1mise2r-c365-i-3-01";0;
1293;"url_clp";"1LOLOMBGEFO-00000000000029708737";"E45C10002490005";"www.opencoesione.gov.it/progetti/1lolombgefo-00000000000029708737";0;
1294;"url_clp";"1MTRA111113";"J77I07000030001";"www.opencoesione.gov.it/progetti/1mtra111113";0;
1297;"url_clp";"4FR3839";"E95F10000200007";"www.opencoesione.gov.it/progetti/4fr3839";0;
1300;"url_clp";"1LOLOMBGEFO-00000000000039069419";"F31C13000000002";"www.opencoesione.gov.it/progetti/1lolombgefo-00000000000039069419";0;
1301;"url_clp";"1PUFE3.100058";"F43B11000130007";"www.opencoesione.gov.it/progetti/1pufe3100058";0;
1303;"url_clp";"1MPILO-VA-012000-523";"J39D14000760004";"www.opencoesione.gov.it/progetti/1mpilo-va-012000-523";0;
