"OC_CODICE_PROGRAMMA";"x_CICLO";"x_AMBITO";"x_GRUPPO";"x_PROGRAMMA";"FLT";"NOTE"
"2007IT162PO014";"2007-2013";"FESR";"POR";"POR CRO FESR VALLE D'AOSTA";"VALLE D'AOSTA";
"2007IT162PO015";"2007-2013";"FESR";"POR";"POR CRO FESR VENETO";"VENETO";
"2007IT161PO001";"2007-2013";"FESR";"PON-POIN";"POIN ATTRATTORI";"NAZ";
"2007IT161PO002";"2007-2013";"FESR";"PON-POIN";"POIN ENERGIA";"NAZ";
"2007IT161PO003";"2007-2013";"FESR";"PON-POIN";"PON GAT";"NAZ";
"2007IT161PO004";"2007-2013";"FESR";"PON-POIN";"PON SCUOLA";"NAZ";
"2007IT161PO005";"2007-2013";"FESR";"PON-POIN";"PON RETI";"NAZ";
"2007IT161PO006";"2007-2013";"FESR";"PON-POIN";"PON RICERCA";"NAZ";
"2007IT161PO007";"2007-2013";"FESR";"PON-POIN";"PON SICUREZZA";"NAZ";
"2017POCSICILIA1";"2014-2020";"POC";"POC REGIONALI";"POC SICILIA";"SICILIA";
"2016POCCAMPAN01";"2014-2020";"POC";"POC REGIONALI";"POC CAMPANIA";"CAMPANIA";
"2015IGRUEPCI001";"2014-2020";"POC";"POC NAZIONALI";"POC IGRUE";"NAZ";
"2017POCGOVERN01";"2014-2020";"POC";"POC NAZIONALI";"POC GOVERNANCE";"NAZ";
"2017POCLEGAL01";"2014-2020";"POC";"POC NAZIONALI";"POC LEGALITA'";"NAZ";
"2017POCRICERCA1";"2014-2020";"POC";"POC NAZIONALI";"POC RICERCA";"NAZ";
"2016POCCITMETRO";"2014-2020";"POC";"POC NAZIONALI";"POC METRO";"NAZ";
"2016POCCULTURA1";"2014-2020";"POC";"POC NAZIONALI";"POC CULTURA";"NAZ";
"2016POCIMPRESE1";"2014-2020";"POC";"POC NAZIONALI";"POC IMPRESE";"NAZ";
"2014IT05M9OP001";"2014-2020";"YEI";"PON";"PON INIZIATIVA OCCUPAZIONE GIOVANI";"NAZ";
"2014IT05SFOP003";"2014-2020";"FSE";"POR";"POR EMILIA-ROMAGNA FSE";"EMILIA-ROMAGNA";
"2014IT05SFOP004";"2014-2020";"FSE";"POR";"POR FRIULI-VENEZIA GIULIA FSE";"FRIULI-VENEZIA GIULIA";
"2014IT05SFOP005";"2014-2020";"FSE";"POR";"POR LAZIO FSE";"LAZIO";
"2014IT05SFOP006";"2014-2020";"FSE";"POR";"POR LIGURIA FSE";"LIGURIA";
"2014IT05SFOP007";"2014-2020";"FSE";"POR";"POR LOMBARDIA FSE";"LOMBARDIA";
"2014IT05SFOP008";"2014-2020";"FSE";"POR";"POR MARCHE FSE";"MARCHE";
"2014IT05SFOP009";"2014-2020";"FSE";"POR";"POR ABRUZZO FSE";"ABRUZZO";
"2014IT05SFOP010";"2014-2020";"FSE";"POR";"POR UMBRIA FSE";"UMBRIA";
"2014IT05SFOP011";"2014-2020";"FSE";"POR";"POR VALLE D'AOSTA FSE";"VALLE D'AOSTA";
"2014IT05SFOP012";"2014-2020";"FSE";"POR";"POR VENETO FSE";"VENETO";
"2014IT05SFOP013";"2014-2020";"FSE";"POR";"POR PIEMONTE FSE";"PIEMONTE";
"2014IT05SFOP014";"2014-2020";"FSE";"POR";"POR SICILIA FSE";"SICILIA";
"2014IT05SFOP015";"2014-2020";"FSE";"POR";"POR TOSCANA FSE";"TOSCANA";
"2014IT05SFOP016";"2014-2020";"FSE";"POR";"POR BASILICATA FSE";"BASILICATA";
"2014IT05SFOP017";"2014-2020";"FSE";"POR";"POR PA BOLZANO FSE";"PA BOLZANO";
"2014IT05SFOP018";"2014-2020";"FSE";"POR";"POR PA TRENTO FSE";"PA TRENTO";
"2014IT05SFOP020";"2014-2020";"FSE";"POR";"POR CAMPANIA FSE";"CAMPANIA";
"2014IT05SFOP021";"2014-2020";"FSE";"POR";"POR SARDEGNA FSE";"SARDEGNA";
"2014IT05SFOP001";"2014-2020";"FSE";"PON";"PON INCLUSIONE";"NAZ";
"2014IT05SFOP002";"2014-2020";"FSE";"PON";"PON POLITICHE ATTIVE";"NAZ";
"2016LOAMPSAP06";"2014-2020";"FSC";"PIANI STRALCIO";"PS AREE METROPOLITANE LOMBARDIA";"LOMBARDIA";
"2016ABAMPSAP01";"2014-2020";"FSC";"PIANI STRALCIO";"PS AREE METROPOLITANE ABRUZZO";"ABRUZZO";
"2016EMAMPSAP02";"2014-2020";"FSC";"PIANI STRALCIO";"PS AREE METROPOLITANE EMILIA ROMAGNA";"EMILIA-ROMAGNA";
"2016LIAMPSAP03";"2014-2020";"FSC";"PIANI STRALCIO";"PS AREE METROPOLITANE LIGURIA";"LIGURIA";
"2016SAAMPSAP04";"2014-2020";"FSC";"PIANI STRALCIO";"PS AREE METROPOLITANE SARDEGNA";"SARDEGNA";
"2016TOAMPSAP05";"2014-2020";"FSC";"PIANI STRALCIO";"PS AREE METROPOLITANE TOSCANA";"TOSCANA";
"2016VEAMPSAP07";"2014-2020";"FSC";"PIANI STRALCIO";"PS AREE METROPOLITANE VENETO";"VENETO";
"2018CAPCULTFSC";"2014-2020";"FSC";"PIANI STRALCIO";"CAPITALI ITALIANE DELLA CULTURA";"NAZ";
"2018FSCGIOVIMP";"2014-2020";"FSC";"PIANI STRALCIO";"GIOVANI IMPRENDITORI NEL MEZZOGIORNO";"NAZ";
"2018FSCVOUCHER";"2014-2020";"FSC";"PIANI STRALCIO";"VOUCHER DIGITALIZZAZIONE PMI";"NAZ";
"2017PPORTTARFSC";"2014-2020";"FSC";"PIANI STRALCIO";"PIASTRA PORTUALE DI TARANTO";"NAZ";
"2017FSCRICERCA";"2014-2020";"FSC";"PIANI STRALCIO";"PIANO STRALCIO RICERCA E INNOVAZIONE";"NAZ";
"2017PALGIURCFSC";"2014-2020";"FSC";"PIANI STRALCIO";"PALAZZO DI GIUSTIZIA DI REGGIO CALABRIA";"NAZ";
"2016XXPCMFSC002";"2014-2020";"FSC";"PIANI STRALCIO";"CITTADELLA GIUDIZIARIA DI SALERNO";"NAZ";
"2015MBACTFSC017";"2014-2020";"FSC";"PIANI STRALCIO";"PROGRAMMA SENSI CONTEMPORANEI";"NAZ";
"2015MSIAIFSC011";"2014-2020";"FSC";"PIANI STRALCIO";"CONTRATTI DI SVILUPPO";"NAZ";
"2016MBCSGFSC006";"2014-2020";"FSC";"PIANI STRALCIO";"PIANO STRALCIO CULTURA E TURISMO";"NAZ";
"2017POAMBIENFSC";"2014-2020";"FSC";"PIANI OPERATIVI";"PIANO OPERATIVO FSC AMBIENTE";"NAZ";
"2017POINFRASFSC";"2014-2020";"FSC";"PIANI OPERATIVI";"PIANO OPERATIVO FSC INFRASTRUTTURE";"NAZ";
"2017POIMPCOMFSC";"2014-2020";"FSC";"PIANI OPERATIVI";"PIANO OPERATIVO FSC IMPRESE E COMPETITIVITA'";"NAZ";
"2017POAGRICOFSC";"2014-2020";"FSC";"PIANI OPERATIVI";"PIANO OPERATIVO FSC AGRICOLTURA";"NAZ";
"2016PATTIRC";"2014-2020";"FSC";"PATTI";"PATTO REGGIO CALABRIA";"CALABRIA";
