"OC_CODICE_PROGRAMMA";"x_CICLO";"x_AMBITO";"x_GRUPPO";"x_PROGRAMMA";"x_REGNAZ";"TIPO";"NOTE"
"2017POCGOVERN01";"2014-2020";"POC";"POC NAZIONALI";"POC GOVERNANCE";"NAZ";0;
"2015IGRUEPCI001";"2014-2020";"POC";"POC NAZIONALI";"POC IGRUE";"NAZ";0;
"2016POCIMPRESE1";"2014-2020";"POC";"POC NAZIONALI";"POC IMPRESE";"NAZ";0;
"2017POCINFRASTR";"2014-2020";"POC";"POC NAZIONALI";"POC INFRASTRUTTURE";"NAZ";0;
"2007LA002OC004";"2000-2006";"EXPOC";"POC REGIONALI";"POC LAZIO";"LAZIO";9;
"2017POCLEGAL01";"2014-2020";"POC";"POC NAZIONALI";"POC LEGALITA'";"NAZ";0;
"2007LI002OC005";"2000-2006";"EXPOC";"POC REGIONALI";"POC LIGURIA";"LIGURIA";9;
"2007LO002OC006";"2000-2006";"EXPOC";"POC REGIONALI";"POC LOMBARDIA";"LOMBARDIA";9;
"2007MA002OC007";"2000-2006";"EXPOC";"POC REGIONALI";"POC MARCHE";"MARCHE";9;
"2016POCCITMETRO";"2014-2020";"POC";"POC NAZIONALI";"POC METRO";"NAZ";0;
"POC_CDD_01";"2014-2020";"POC";"POC REGIONALI";"POC MOLISE";"MOLISE";0;
"2007MO002OC008";"2000-2006";"EXPOC";"POC REGIONALI";"POC MOLISE";"MOLISE";9;
"2007BO002OC009";"2000-2006";"EXPOC";"POC REGIONALI";"POC P.A. BOLZANO";"PA BOLZANO";9;
"2007TR002OC010";"2000-2006";"EXPOC";"POC REGIONALI";"POC P.A. TRENTO";"PA TRENTO";9;
"2007PI002OC011";"2000-2006";"EXPOC";"POC REGIONALI";"POC PIEMONTE";"PIEMONTE";9;
"2007PU001OC010";"2000-2006";"EXPOC";"POC REGIONALI";"POC PUGLIA";"PUGLIA";9;
"2017POCRICERCA1";"2014-2020";"POC";"POC NAZIONALI";"POC RICERCA";"NAZ";0;
"2007SA002OC016";"2000-2006";"EXPOC";"POC REGIONALI";"POC SARDEGNA";"SARDEGNA";9;
