"OC_CODICE_PROGRAMMA";"x_CICLO";"x_FONDO";"x_AMBITO";"x_GRUPPO";"x_PROGRAMMA";"NOTE"
"2007IT162PO012";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CRO FESR TOSCANA";
"2007IT162PO013";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CRO FESR UMBRIA";
"2007IT162PO001";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CRO FESR ABRUZZO";
"2007IT162PO003";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CRO FESR FRIULI VENEZIA GIULIA";
"2007IT162PO006";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CRO FESR LOMBARDIA";
"2007IT162PO009";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CRO FESR PA BOLZANO";
"2007IT162PO010";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CRO FESR PA TRENTO";
"2007IT162PO011";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CRO FESR PIEMONTE";
"2007IT162PO014";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CRO FESR VALLE D'AOSTA";
"2007IT162PO015";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CRO FESR VENETO";
"2007IT161PO001";"2007-2013";"PROGRAMMI FESR";"FESR";"PON-POIN";"POIN ATTRATTORI";
"2007IT161PO002";"2007-2013";"PROGRAMMI FESR";"FESR";"PON-POIN";"POIN ENERGIA";
"2007IT161PO003";"2007-2013";"PROGRAMMI FESR";"FESR";"PON-POIN";"PON GAT";
"2007IT161PO004";"2007-2013";"PROGRAMMI FESR";"FESR";"PON-POIN";"PON SCUOLA";
"2007IT161PO005";"2007-2013";"PROGRAMMI FESR";"FESR";"PON-POIN";"PON RETI";
"2007IT161PO006";"2007-2013";"PROGRAMMI FESR";"FESR";"PON-POIN";"PON RICERCA";
"2007IT161PO007";"2007-2013";"PROGRAMMI FESR";"FESR";"PON-POIN";"PON SICUREZZA";
"2017POCSICILIA1";"2014-2020";"PROGRAMMI POC";"POC";"POC REGIONALI";"POC SICILIA";
"2016POCCAMPAN01";"2014-2020";"PROGRAMMI POC";"POC";"POC REGIONALI";"POC CAMPANIA";
"2015IGRUEPCI001";"2014-2020";"PROGRAMMI POC";"POC";"POC NAZIONALI";"POC IGRUE";
"2017POCGOVERN01";"2014-2020";"PROGRAMMI POC";"POC";"POC NAZIONALI";"POC GOVERNANCE";
"2017POCLEGAL01";"2014-2020";"PROGRAMMI POC";"POC";"POC NAZIONALI";"POC LEGALITA'";
"2017POCRICERCA1";"2014-2020";"PROGRAMMI POC";"POC";"POC NAZIONALI";"POC RICERCA";
"2016POCCITMETRO";"2014-2020";"PROGRAMMI POC";"POC";"POC NAZIONALI";"POC METRO";
"2016POCCULTURA1";"2014-2020";"PROGRAMMI POC";"POC";"POC NAZIONALI";"POC CULTURA";
"2016POCIMPRESE1";"2014-2020";"PROGRAMMI POC";"POC";"POC NAZIONALI";"POC IMPRESE";
"2014IT05M9OP001";"2014-2020";"PROGRAMMI FSE-YEI";"YEI";"PON";"PON INIZIATIVA OCCUPAZIONE GIOVANI";
"2014IT05SFOP003";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR EMILIA-ROMAGNA FSE";
"2014IT05SFOP004";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR FRIULI-VENEZIA GIULIA FSE";
"2014IT05SFOP005";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR LAZIO FSE";
"2014IT05SFOP006";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR LIGURIA FSE";
"2014IT05SFOP007";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR LOMBARDIA FSE";
"2014IT05SFOP008";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR MARCHE FSE";
"2014IT05SFOP009";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR ABRUZZO FSE";
"2014IT05SFOP010";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR UMBRIA FSE";
"2014IT05SFOP011";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR VALLE D'AOSTA FSE";
"2014IT05SFOP012";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR VENETO FSE";
"2014IT05SFOP013";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR PIEMONTE FSE";
"2014IT05SFOP014";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR SICILIA FSE";
"2014IT05SFOP015";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR TOSCANA FSE";
"2014IT05SFOP016";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR BASILICATA FSE";
"2014IT05SFOP017";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR PA BOLZANO FSE";
"2014IT05SFOP018";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR PA TRENTO FSE";
"2014IT05SFOP020";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR CAMPANIA FSE";
"2014IT05SFOP021";"2014-2020";"PROGRAMMI FSE";"FSE";"POR";"POR SARDEGNA FSE";
"2014IT05SFOP001";"2014-2020";"PROGRAMMI FSE";"FSE";"PON";"PON INCLUSIONE";
